Headlines,Time,Description
Cramer's week ahead: 'All bets are off' if another U.S.-China trade war sparks," 6:40  PM ET Fri, 15 May 2020","Jim Cramer, the host of ""Mad Money,"" delivered his game plan for the week ahead full of retail earnings reports."
We favor US stocks over non-US stocks: Wells Fargo,"10:08  PM ET Thu, 14 May 2020","Brian Jacobsen of Wells Fargo Asset Management discusses the concerns among investors about possible rebound in cases as the U.S. begins reopening. He also highlights the risks stemming from escalating U.S.-China tensions, one of the key reasons behind his preference over U.S. stocks."
"New membership sign-ups 'on par' with last year, Planet Fitness CEO says"," 9:08  PM ET Thu, 14 May 2020","""[I'm] really encouraged by what I'm seeing,"" Planet Fitness CEO Chris Rondeau said as the budget gym chain reopens locations."
Cramer's lightning round: Callaway Golf is a stock investors can get long on," 7:13  PM ET Thu, 14 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"The big chains will be the last survivors without more stimulus relief, Jim Cramer warns"," 6:56  PM ET Thu, 14 May 2020","""Without more stimulus, I think you should just buy the big chains that can survive the lockdown and a slow reopening of the economy,"" Cramer said."
"Charts suggest more pain is in store before market reaches a 'buyable bottom,' Jim Cramer says"," 7:27  AM ET Fri, 15 May 2020","Jim Cramer, host of ""Mad Money,"" took some pointers from volatility expert Mark Sebastian to understand why the market could sell off more."
Cisco CEO Chuck Robbins: The future post-pandemic workplace will be based on a 'hybrid model'," 9:28  PM ET Thu, 14 May 2020","Cisco Systems CEO Chuck Robbins said the coronavirus pandemic will ""change things like how we think about talent in the future."""
Cramer's lightning round: Shopify is the 'hottest stock in the market'," 6:55  PM ET Wed, 13 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"Charts show Nvidia, AMD and Qualcomm have 'a lot more room to run,' Jim Cramer says"," 6:55  PM ET Wed, 13 May 2020","""In a market that's suddenly rolling over ... we need to circle the wagons around high-quality stocks that we can confidently buy into this newfound weakness,"" the ""Mad Money"" host said."
"Jim Cramer reveals his playbook, says investors can start slowly buying stocks Thursday afternoon"," 6:33  PM ET Wed, 13 May 2020","The ""Mad Money"" host instructs investors to keep their eyes on the food and drug stocks as a sign to start building a position in the market."
"The US is running out of time to stave off a depression without reopening, Jim Cramer warns"," 8:45  PM ET Tue, 12 May 2020","""[W]ithout more aggressive action from the federal government, we may have no choice but to reopen as the economy spirals into a depression,"" the ""Mad Money"" host said."
"Uber should be willing to pay more in 'genius move' to buy GrubHub, Jim Cramer says"," 7:24  PM ET Tue, 12 May 2020","""In one fell swoop, this deal would create an incredible amount of value for Uber and GrubHub's shareholders,"" the ""Mad Money"" host said."
Cramer's lightning round: Dow Inc is 'not doing well'," 7:14  PM ET Tue, 12 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Speaker Nancy Pelosi: $3 trillion coronavirus relief bill is a 'big ticket' for a 'big problem'," 6:53  PM ET Tue, 12 May 2020","""I think that there's an opportunity here for us because this is only centered — only centered — on the coronavirus,"" the top Democrat in Congress told CNBC's Jim Cramer."
,,
"Kevin O'Leary: If you're worried about dividend cuts, it's 'time to use actively managed ETFs'"," 2:53  PM ET Tue, 12 May 2020","Kevin O'Leary, chairman of O'Shares ETFs, makes his case for why investors should consider actively managed exchange-traded funds."
"Coronavirus has ushered in the 'death of the call center,' LivePerson CEO says"," 2:37  PM ET Tue, 12 May 2020",LivePerson CEO Rob Locascio told CNBC's Jim Cramer that demand for its cloud-based customer messaging system spiked amid the coronavirus pandemic.
Cramer's lightning round: 'You don't want to be around any company cutting dividends'," 8:24  PM ET Mon, 11 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer reviews top 10 stocks 'for this difficult moment' on the 'Cramer Covid-19 Index'," 7:19  PM ET Mon, 11 May 2020","""Remember, there's nothing irrational about these rallies. The stay-at-home names are simply the right stocks for this difficult moment,"" Cramer said."
"'Quality really matters' for investors in 2020, says 'Shark Tank's' Kevin O'Leary"," 3:50  PM ET Mon, 11 May 2020","""Shark Tank"" investor Kevin O'Leary, the chairman of O'Shares ETFs, on what he'll be watching in the market for the rest of the year with CNBC's Bob Pisani."
"Dividend payers are still 'winners in this market,' ETF analyst says. Here's why"," 9:15  AM ET Sat,  9 May 2020","As more and more S&P 500 companies cut or suspend their dividend payments, one issuer speaks to how his dividend-based exchange-traded fund is managing the shift."
"Financials are flashing a 'warning sign' to investors, says trader"," 7:02  AM ET Fri,  8 May 2020","""Financials are giving us the warning sign to be very, very cautious with this overall market,"" says Quint Tatro, president of Joule Financial."
Norwegian Cruise Line CEO: 'We expect to sail sometime in 2020'," 9:01  PM ET Thu,  7 May 2020","Norwegian Cruise is working ""shoulder-to-shoulder"" with health officials to ""develop an enhanced protocol"" to relaunch cruise trips, CEO Frank Del Rio said."
Cramer's lightning round: 'I do not like the bank stocks'," 8:24  PM ET Thu,  7 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer on Moderna vaccine-sparked rally: 'Let's not get ahead of ourselves'," 7:56  PM ET Thu,  7 May 2020","""This market does have a tendency to bounce between unbridled optimism and total despair — no middle ground,"" the ""Mad Money"" host said."
'It was suddenly Cyber Monday' — Etsy CEO says sales spiked 79% in April," 7:11  PM ET Thu,  7 May 2020","""When the CDC changed its [face mask] guidelines ... we all of a sudden saw overwhelming amounts of demand come on to our site,"" Etsy CEO Josh Silverman told CNBC."
Beyond Meat CEO looks to 'win consumers' over during meat supply shortage with 'value packs'," 8:52  PM ET Wed,  6 May 2020","""We view this as a massive opportunity for us to drive trial and win consumers over into our segment,"" Beyond Meat CEO Ethan Brown said in a ""Mad Money"" interview."
Jim Cramer on Wall Street trading trends: 'This action makes little sense'," 7:37  PM ET Wed,  6 May 2020","""The staples and the retailers should be moving in opposite directions"" meaning ""somebody's wrong here,"" the ""Mad Money"" host said."
Cramer's lightning round: 'General Dynamics is a very good long-term hold'," 7:21  PM ET Wed,  6 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
"Facebook, Alphabet and Amazon are in a 'three-horse race' in advertising, Jim Cramer says"," 6:48  PM ET Wed,  6 May 2020","""With this latest quarter, they've pretty much become the only game in town,"" the ""Mad Money"" host said."
Markets are seeing light at the end of the tunnel: Fidelity," 3:24  AM ET Wed,  6 May 2020","After a slew of bad news for the markets since the outbreak of coronavirus, markets are slowly tracing back the recline. Jurrien Timmer of Fidelity Investments says that while we can't precisely guess the future, the markets and a ""resilient"" S&P are moving to look at a light at the end of the tunnel."
Masimo CEO says its remote oxygen monitors were made to mitigate diseases like coronavirus," 9:36  PM ET Tue,  5 May 2020",Masimo CEO Joe Kiani discussed how the medical device maker's telehealth systems can be useful in the fight against coronavirus.
Cramer's lighting round: JPMorgan Chase is an 'out-of-favor stock'," 7:11  PM ET Tue,  5 May 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"The 'beginning of the end' of the health-care recession is 'finally arising,' Jim Cramer says"," 8:48  PM ET Tue,  5 May 2020","""[A]s the country gradually reopens, there are some industries that should do much, much better,"" the ""Mad Money"" host said."
"Many restaurants would 'shut down completely' under Tennessee's reopening guidelines, Jim Cramer says"," 6:57  PM ET Tue,  5 May 2020","""These rules are safe and healthy for the customer, which is great, but there's simply no way most restaurants can possibly obey them without going right out of business,"" the ""Mad Money"" host said."
,,
Emergent Biosolutions CEO on Trump's promise for a vaccine this year — 'Nobody can guarantee anything'," 8:52  PM ET Mon,  4 May 2020","""We're here ... doing everything we can to make sure that a vaccine and treatments are available as soon as possible,"" CEO Robert Kramer said."
"Cramer's lightning round: 'If I really want solar, I want Tesla'"," 3:13  PM ET Tue,  2 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Warren Buffett's exit from airline stocks is a wake-up call for index investors, Jim Cramer says"," 6:40  PM ET Mon,  4 May 2020","""I recommend selling"" some position in the S&P 500 index fund ""if the [upward] streak continues,"" the ""Mad Money"" host said."
'She had the vision' — Salesforce's Benioff cites Rhode Island governor for contact tracing tools," 8:28  PM ET Mon,  4 May 2020",Salesforce's Benioff said it was the Rhode Island governor's idea to pair contact tracing with coronavirus testing as Salesforce sought to launch Work.com.
Here's how dividend-based ETFs are managing shareholder payout cuts: Issuer," 3:58  PM ET Mon,  4 May 2020","Simeon Hyman of ProShares, Dave Nadig of ETF Trends and Chris Hempstead of IndexIQ talk what could lie ahead for dividend-based ETFs as corporations cut their shareholder payouts. With CNBC's Bob Pisani."
Time to sell in May and go away?," 4:56  AM ET Mon,  4 May 2020","Stocks in April had a great month with the S&P 500 notching its best monthly performance in over 40 years despite coronavirus concerns. Standard Chartered Private Bank's Steve Brice weighs in on whether the old adage ""sell in May and go away"" holds true and what the outlook for risk assets is in this environment."
